lagoslakeid,sampledate,chla,lake_year
-1010,9/13/2003,26,-1010_2003
-1010,6/8/2004,41,-1010_2004
-1010,6/28/2004,456,-1010_2004
-1010,7/14/2004,25,-1010_2004
-1010,7/28/2004,133,-1010_2004
-1010,8/2/2004,739,-1010_2004
-1010,8/26/2004,39,-1010_2004
-1010,9/10/2004,133,-1010_2004
-1010,6/8/2005,NA,-1010_2005
-1010,6/19/2005,20,-1010_2005
-1010,7/6/2005,23,-1010_2005
-1010,7/19/2005,38,-1010_2005
-1010,8/5/2005,23,-1010_2005
-1010,8/21/2005,NA,-1010_2005
-1010,9/3/2005,88,-1010_2005
-1010,6/3/2006,7,-1010_2006
-1010,6/22/2006,9,-1010_2006
-1010,7/9/2006,44,-1010_2006
-1010,7/20/2006,37,-1010_2006
-1010,8/2/2006,36,-1010_2006
-1010,8/19/2006,38,-1010_2006
-1010,9/11/2006,39,-1010_2006
-1010,6/12/2007,22,-1010_2007
-1010,6/25/2007,99,-1010_2007
-1010,7/10/2007,16,-1010_2007
-1010,7/19/2007,29,-1010_2007
-1010,8/5/2007,120,-1010_2007
-1010,8/22/2007,77,-1010_2007
-1010,9/2/2007,30,-1010_2007
-1010,6/14/2008,3,-1010_2008
-1010,6/22/2008,6,-1010_2008
-1010,7/7/2008,27,-1010_2008
-1010,7/22/2008,22,-1010_2008
-1010,8/2/2008,25,-1010_2008
-1010,8/25/2008,49,-1010_2008
-1010,9/8/2008,17,-1010_2008
-1010,6/13/2009,5,-1010_2009
-1010,6/30/2009,29,-1010_2009
-1010,7/11/2009,220,-1010_2009
-1010,7/31/2009,120,-1010_2009
-1010,8/14/2009,120,-1010_2009
-1010,8/26/2009,130,-1010_2009
-1010,9/12/2009,80,-1010_2009
-1010,6/7/2010,14,-1010_2010
-1010,6/10/2010,5,-1010_2010
-1010,7/8/2010,12,-1010_2010
-1010,7/20/2010,22,-1010_2010
-1010,8/7/2010,36,-1010_2010
-1010,8/16/2010,62,-1010_2010
-1010,9/13/2010,29,-1010_2010
-1010,6/4/2011,9,-1010_2011
-1010,6/24/2011,26,-1010_2011
-1010,7/9/2011,25,-1010_2011
-1010,7/21/2011,55,-1010_2011
-1010,8/13/2011,72,-1010_2011
-1010,8/31/2011,54,-1010_2011
-1010,9/8/2011,67,-1010_2011
-1010,6/7/2012,31,-1010_2012
-1010,6/21/2012,48,-1010_2012
-1010,7/11/2012,100,-1010_2012
-1010,7/24/2012,85,-1010_2012
-1010,8/7/2012,100,-1010_2012
-1010,8/28/2012,67,-1010_2012
-1010,9/10/2012,56,-1010_2012
-1010,6/5/2013,86,-1010_2013
-1010,6/25/2013,46,-1010_2013
-1010,7/3/2013,36,-1010_2013
-1010,7/18/2013,42,-1010_2013
-1010,8/5/2013,46,-1010_2013
-1010,8/22/2013,46,-1010_2013
-1010,9/3/2013,61,-1010_2013
-1010,6/5/2014,54,-1010_2014
-1010,6/20/2014,55,-1010_2014
-1010,7/8/2014,55,-1010_2014
-1010,7/22/2014,120,-1010_2014
-1010,8/5/2014,51,-1010_2014
-1010,8/18/2014,42,-1010_2014
-1010,9/9/2014,86,-1010_2014
-1010,6/9/2015,26,-1010_2015
-1010,6/20/2015,39,-1010_2015
-1010,7/7/2015,33,-1010_2015
-1010,7/27/2015,55,-1010_2015
-1010,8/10/2015,29,-1010_2015
-1010,6/2/2016,1,-1010_2016
-1010,6/28/2016,23,-1010_2016
-1010,7/2/2016,12,-1010_2016
-1010,7/21/2016,18,-1010_2016
-1010,8/18/2016,23,-1010_2016
-1010,8/27/2016,17,-1010_2016
-1010,9/10/2016,28,-1010_2016
-1010,6/14/2018,6,-1010_2018
-1010,6/30/2018,22,-1010_2018
-1010,7/12/2018,29,-1010_2018
-1010,7/28/2018,61,-1010_2018
-1010,8/13/2018,55,-1010_2018
-1010,8/26/2018,78,-1010_2018
-1010,9/7/2018,44,-1010_2018
-99,7/14/1999,NA,-99_1999
-99,7/28/1999,30,-99_1999
-99,8/11/1999,5,-99_1999
-99,8/25/1999,NA,-99_1999
-99,9/8/1999,63,-99_1999
-99,9/22/1999,14,-99_1999
-99,5/20/2000,3,-99_2000
-99,6/2/2000,25,-99_2000
-99,6/16/2000,39,-99_2000
-99,6/30/2000,23,-99_2000
-99,7/14/2000,88,-99_2000
-99,7/28/2000,19,-99_2000
-99,8/11/2000,13,-99_2000
-99,8/25/2000,36,-99_2000
-99,9/9/2000,43,-99_2000
-99,9/26/2000,6,-99_2000
-99,6/8/2001,19,-99_2001
-99,6/22/2001,10,-99_2001
-99,7/3/2001,43,-99_2001
-99,8/3/2001,77,-99_2001
-99,8/22/2001,83,-99_2001
-99,9/1/2001,72,-99_2001
-99,9/21/2001,63,-99_2001
-99,6/5/2002,5,-99_2002
-99,6/17/2002,42,-99_2002
-99,7/2/2002,38,-99_2002
-99,7/16/2002,46,-99_2002
-99,7/19/2002,47,-99_2002
-99,8/2/2002,161,-99_2002
-99,8/12/2002,100,-99_2002
-99,8/28/2002,62,-99_2002
-99,9/6/2002,54,-99_2002
-99,9/27/2002,33,-99_2002
-99,6/12/2003,NA,-99_2003
-99,6/28/2003,146,-99_2003
-99,7/15/2003,88,-99_2003
-99,7/30/2003,13,-99_2003
-99,8/14/2003,42,-99_2003
-99,8/30/2003,50,-99_2003
-99,9/6/2003,67,-99_2003
-99,9/13/2003,66,-99_2003
-99,6/8/2004,16,-99_2004
-99,6/28/2004,467,-99_2004
-99,7/14/2004,2,-99_2004
-99,7/28/2004,23,-99_2004
-99,8/2/2004,178,-99_2004
-99,8/26/2004,81,-99_2004
-99,9/10/2004,97,-99_2004
-99,6/8/2005,NA,-99_2005
-99,6/19/2005,9,-99_2005
-99,7/6/2005,54,-99_2005
-99,7/19/2005,21,-99_2005
-99,8/5/2005,14,-99_2005
-99,8/21/2005,NA,-99_2005
-99,9/3/2005,88,-99_2005
-99,6/3/2006,5,-99_2006
-99,6/22/2006,10,-99_2006
-99,7/9/2006,NA,-99_2006
-99,7/20/2006,40,-99_2006
-99,8/2/2006,27,-99_2006
-99,8/19/2006,45,-99_2006
-99,9/11/2006,40,-99_2006
-99,6/12/2007,17,-99_2007
-99,6/25/2007,56,-99_2007
-99,7/10/2007,24,-99_2007
-99,7/19/2007,33,-99_2007
-99,8/5/2007,85,-99_2007
-99,8/22/2007,80,-99_2007
-99,9/2/2007,32,-99_2007
-99,6/14/2008,3,-99_2008
-99,6/22/2008,7,-99_2008
-99,7/7/2008,35,-99_2008
-99,7/22/2008,13,-99_2008
-99,8/2/2008,17,-99_2008
-99,8/25/2008,31,-99_2008
-99,9/8/2008,32,-99_2008
-99,6/13/2009,2,-99_2009
-99,6/30/2009,7,-99_2009
-99,7/11/2009,13,-99_2009
-99,7/31/2009,17,-99_2009
-99,8/14/2009,51,-99_2009
-99,8/26/2009,12,-99_2009
-99,9/12/2009,120,-99_2009
-99,6/7/2010,7,-99_2010
-99,6/10/2010,9,-99_2010
-99,7/8/2010,31,-99_2010
-99,7/20/2010,28,-99_2010
-99,8/7/2010,42,-99_2010
-99,8/16/2010,82,-99_2010
-99,9/13/2010,52,-99_2010
-99,6/4/2011,8,-99_2011
-99,6/24/2011,29,-99_2011
-99,7/9/2011,22,-99_2011
-99,7/21/2011,58,-99_2011
-99,8/13/2011,76,-99_2011
-99,8/31/2011,45,-99_2011
-99,9/8/2011,46,-99_2011
-99,6/7/2012,31,-99_2012
-99,6/21/2012,52,-99_2012
-99,7/11/2012,50,-99_2012
-99,7/24/2012,80,-99_2012
-99,8/7/2012,120,-99_2012
-99,8/28/2012,110,-99_2012
-99,9/10/2012,76,-99_2012
-99,6/5/2013,48,-99_2013
-99,6/25/2013,2,-99_2013
-99,7/3/2013,2,-99_2013
-99,7/18/2013,18,-99_2013
-99,8/5/2013,37,-99_2013
-99,8/22/2013,54,-99_2013
-99,9/3/2013,70,-99_2013
-99,6/5/2014,37,-99_2014
-99,6/20/2014,55,-99_2014
-99,7/8/2014,46,-99_2014
-99,7/22/2014,39,-99_2014
-99,8/5/2014,31,-99_2014
-99,8/18/2014,47,-99_2014
-99,9/9/2014,120,-99_2014
-99,6/9/2015,8,-99_2015
-99,6/20/2015,5,-99_2015
-99,7/7/2015,18,-99_2015
-99,7/27/2015,31,-99_2015
-99,8/10/2015,26,-99_2015
-99,6/2/2016,2,-99_2016
-99,6/28/2016,28,-99_2016
-99,7/2/2016,27,-99_2016
-99,7/21/2016,23,-99_2016
-99,8/18/2016,27,-99_2016
-99,8/27/2016,32,-99_2016
-99,9/10/2016,36,-99_2016
-99,6/14/2018,6,-99_2018
-99,6/30/2018,39,-99_2018
-99,7/12/2018,29,-99_2018
-99,7/28/2018,51,-99_2018
-99,8/13/2018,60,-99_2018
-99,8/26/2018,70,-99_2018
-99,9/7/2018,75,-99_2018
-88,6/17/1999,9,-88_1999
-88,7/14/1999,NA,-88_1999
-88,7/28/1999,27,-88_1999
-88,8/11/1999,16,-88_1999
-88,8/25/1999,NA,-88_1999
-88,9/8/1999,65,-88_1999
-88,9/22/1999,40,-88_1999
-88,5/20/2000,18,-88_2000
-88,6/2/2000,40,-88_2000
-88,6/16/2000,52,-88_2000
-88,6/30/2000,41,-88_2000
-88,7/14/2000,53,-88_2000
-88,7/28/2000,77,-88_2000
-88,8/11/2000,102,-88_2000
-88,8/25/2000,36,-88_2000
-88,9/9/2000,50,-88_2000
-88,9/26/2000,34,-88_2000
-88,6/8/2001,16,-88_2001
-88,6/22/2001,13,-88_2001
-88,7/3/2001,27,-88_2001
-88,8/3/2001,73,-88_2001
-88,8/22/2001,73,-88_2001
-88,9/1/2001,79,-88_2001
-88,9/21/2001,48,-88_2001
-88,6/5/2002,15,-88_2002
-88,6/17/2002,32,-88_2002
-88,7/2/2002,26,-88_2002
-88,7/16/2002,64,-88_2002
-88,7/19/2002,32,-88_2002
-88,8/2/2002,68,-88_2002
-88,8/12/2002,43,-88_2002
-88,8/28/2002,48,-88_2002
-88,9/6/2002,40,-88_2002
-88,9/27/2002,51,-88_2002
-88,6/12/2003,4,-88_2003
-88,6/28/2003,9,-88_2003
-88,7/15/2003,44,-88_2003
-88,7/30/2003,106,-88_2003
-88,8/14/2003,81,-88_2003
-88,8/30/2003,58,-88_2003
-88,9/6/2003,36,-88_2003
-88,9/13/2003,69,-88_2003
-88,6/8/2004,51,-88_2004
-88,6/28/2004,72,-88_2004
-88,7/14/2004,108,-88_2004
-88,7/28/2004,54,-88_2004
-88,8/2/2004,72,-88_2004
-88,8/26/2004,61,-88_2004
-88,9/10/2004,96,-88_2004
-88,6/8/2005,NA,-88_2005
-88,6/19/2005,6,-88_2005
-88,7/6/2005,144,-88_2005
-88,7/19/2005,19,-88_2005
-88,8/5/2005,42,-88_2005
-88,8/21/2005,NA,-88_2005
-88,9/3/2005,38,-88_2005
-88,6/3/2006,6,-88_2006
-88,6/22/2006,6,-88_2006
-88,7/9/2006,18,-88_2006
-88,7/20/2006,65,-88_2006
-88,8/2/2006,29,-88_2006
-88,8/19/2006,35,-88_2006
-88,9/11/2006,93,-88_2006
-88,6/12/2007,7,-88_2007
-88,6/25/2007,14,-88_2007
-88,7/10/2007,32,-88_2007
-88,7/19/2007,30,-88_2007
-88,8/5/2007,111,-88_2007
-88,8/22/2007,51,-88_2007
-88,9/2/2007,28,-88_2007
-88,6/14/2008,2,-88_2008
-88,6/22/2008,10,-88_2008
-88,7/7/2008,37,-88_2008
-88,7/22/2008,14,-88_2008
-88,8/2/2008,13,-88_2008
-88,8/25/2008,43,-88_2008
-88,9/8/2008,34,-88_2008
-88,6/13/2009,5,-88_2009
-88,6/30/2009,6,-88_2009
-88,7/11/2009,7,-88_2009
-88,7/31/2009,14,-88_2009
-88,8/14/2009,27,-88_2009
-88,8/26/2009,27,-88_2009
-88,9/12/2009,32,-88_2009
-88,6/7/2010,8,-88_2010
-88,6/10/2010,5,-88_2010
-88,7/8/2010,44,-88_2010
-88,7/20/2010,29,-88_2010
-88,8/7/2010,23,-88_2010
-88,8/16/2010,76,-88_2010
-88,9/13/2010,36,-88_2010
-88,6/4/2011,7,-88_2011
-88,6/24/2011,31,-88_2011
-88,7/9/2011,19,-88_2011
-88,7/21/2011,65,-88_2011
-88,8/13/2011,83,-88_2011
-88,8/31/2011,44,-88_2011
-88,9/8/2011,70,-88_2011
-88,6/7/2012,26,-88_2012
-88,6/21/2012,50,-88_2012
-88,7/11/2012,43,-88_2012
-88,7/24/2012,76,-88_2012
-88,8/7/2012,88,-88_2012
-88,8/28/2012,52,-88_2012
-88,9/10/2012,49,-88_2012
-88,6/5/2013,1,-88_2013
-88,6/25/2013,1,-88_2013
-88,7/3/2013,9,-88_2013
-88,7/18/2013,14,-88_2013
-88,8/5/2013,31,-88_2013
-88,8/22/2013,39,-88_2013
-88,9/3/2013,57,-88_2013
-88,6/5/2014,16,-88_2014
-88,6/20/2014,8,-88_2014
-88,7/8/2014,30,-88_2014
-88,7/22/2014,34,-88_2014
-88,8/5/2014,35,-88_2014
-88,8/18/2014,30,-88_2014
-88,9/9/2014,28,-88_2014
-88,6/9/2015,1,-88_2015
-88,6/20/2015,3,-88_2015
-88,7/7/2015,9,-88_2015
-88,7/27/2015,15,-88_2015
-88,8/10/2015,20,-88_2015
-88,6/2/2016,2,-88_2016
-88,6/28/2016,40,-88_2016
-88,7/2/2016,11,-88_2016
-88,7/21/2016,10,-88_2016
-88,8/18/2016,27,-88_2016
-88,8/27/2016,33,-88_2016
-88,9/10/2016,41,-88_2016
-88,6/14/2018,5,-88_2018
-88,6/30/2018,38,-88_2018
-88,7/12/2018,28,-88_2018
-88,7/28/2018,49,-88_2018
-88,8/13/2018,35,-88_2018
-88,8/26/2018,48,-88_2018
-88,9/7/2018,89,-88_2018
-77,6/24/2000,50,-77_2000
-77,7/8/2000,67,-77_2000
-77,7/22/2000,147,-77_2000
-77,8/5/2000,181,-77_2000
-77,8/19/2000,146,-77_2000
-77,9/2/2000,108,-77_2000
-77,9/16/2000,122,-77_2000
-77,9/30/2000,100,-77_2000
-77,6/5/2002,3,-77_2002
-77,6/22/2002,94,-77_2002
-77,7/3/2002,706,-77_2002
-77,7/12/2002,NA,-77_2002
-77,7/26/2002,NA,-77_2002
-77,8/7/2002,NA,-77_2002
-77,8/23/2002,20,-77_2002
-77,9/3/2002,164,-77_2002
-77,6/11/2003,13,-77_2003
-77,6/26/2003,159,-77_2003
-77,7/9/2003,354,-77_2003
-77,7/21/2003,118,-77_2003
-77,8/4/2003,153,-77_2003
-77,8/18/2003,107,-77_2003
-77,9/8/2003,19,-77_2003
-77,9/23/2003,26,-77_2003
-77,6/7/2004,103,-77_2004
-77,6/23/2004,307,-77_2004
-77,7/5/2004,3,-77_2004
-77,7/25/2004,126,-77_2004
-77,8/2/2004,27,-77_2004
-77,8/18/2004,70,-77_2004
-77,9/7/2004,41,-77_2004
-77,6/7/2006,36,-77_2006
-77,6/21/2006,67,-77_2006
-77,7/5/2006,53,-77_2006
-77,7/17/2006,97,-77_2006
-77,8/2/2006,19,-77_2006
-77,8/22/2006,76,-77_2006
-77,9/13/2006,27,-77_2006
-77,6/5/2007,87,-77_2007
-77,6/18/2007,123,-77_2007
-77,7/9/2007,NA,-77_2007
-77,7/22/2007,238,-77_2007
-77,8/6/2007,22,-77_2007
-77,8/20/2007,3,-77_2007
-77,9/10/2007,NA,-77_2007
-77,6/10/2008,4,-77_2008
