"lagoslakeid","gnis_name","nhd_lat","nhd_long","lake_area_ha","lake_perim_meters","class","maxdepth","dr","colora","colort","chla_mean","tn.avg","tn.trend","tp.avg","tp.trend","np","trend.pptmean","trend.pptp95","trend.pptlag1","trend.tmaxmean","trend.tmaxp95","trend.tmaxlag1","wetland_pct","devel_pct","agri_pct","HU4zone","HU2zone","tsi","tsi.cat","LII_ecoregion"
447,"Acton Lake",39.572346,-84.748952,238.8867009,12314.8785,"plains",9.39,106.547718203261,NA,NA,55.2647698825728,5146.5454194233,-0.0787372617307603,NA,NA,4.07816436222301,-0.00598247095963841,-0.0134314760454807,-0.00335714274405467,0.0365937860247587,0.0073560741694514,-0.0600941754775268,0.14,5.4,81.49,"0508","05",69.9590505583901,"eutrophic","8.2"
531,"Big Marine Lake",45.222415,-92.856178,676.2589453,24298.9971,"mountains",17,1.65962750925551,8.33333333333333,NA,29.1147368421053,NA,NA,NA,NA,NA,0.00832845033733987,0.0299558140555116,-0.0161058082486447,0.0438435256667305,0.020016235013439,0.0102071265952636,7.02,9.76,31.76,"0703","07",63.6719082181373,"eutrophic","8.1"
533,"Spring Lake",44.700302,-93.473593,237.6788841,8067.877,"mountains",11.207,16.3876816855183,24.4444444444444,NA,49.349896373057,1944.56228956229,-0.0909990927700347,NA,NA,3.90516876151464,0.0079397082143264,0.0181850727113343,0.0293811915910738,0.0375986188442339,0.0200704176505547,0.0207941275664227,6.34,10.7,70.07,"0702","07",68.8485588838578,"eutrophic","8.1"
552,"Forest Lake",45.273736,-92.947538,914.1622804,28054.6085,"mountains",11.3,2.50384737269893,41.4,NA,14.8926829268293,NA,NA,NA,NA,NA,0.0088146526158871,0.0185656206769344,-0.0253859607702217,0.0587200042213833,0.0303675093552141,0.00697532107126843,12.96,27.25,23.13,"0703","07",57.0955348333814,"eutrophic","8.1"
584,"Dead Lake",46.477433,-95.755196,3020.31575,64571.4924,"mountains",19.8,1.07143644567625,12.5,NA,6.99333333333333,NA,NA,NA,NA,NA,0.0379611902876865,0.036572008286175,-0.000841045889322046,-0.00174305460089978,-0.0265138430910942,0.0321798555039369,13.72,6.83,34.5,"0902","09",49.6800312532834,"mesotrophic","8.1"
678,"Lake of the Isles",44.955634,-93.308029,48.46746936,6742.8912,"mountains",11,9.61285334580547,NA,NA,24.8631884057971,1025.99914529915,-0.00583838826526615,NA,NA,NA,-0.00228183120652822,0.031413390306833,-0.00558550946466163,0.0338033185696308,0.0153949562950058,0.0158112561836114,0.23,98.93,0,"0701","07",62.1233395400151,"eutrophic","8.1"
734,"Sweeney Lake",44.993296,-93.338078,27.80686588,3404.5436,"mountains",8.21,66.1343871666849,20,NA,16.8825333333333,NA,NA,NA,NA,NA,-4.40512354343257e-05,0.023245128564535,0.00705142505178716,0.0439571610334242,0.02113606443384,0.0147096454954885,0.92,96.75,0.07,"0701","07",58.32580245315,"eutrophic","8.1"
765,"Powderhorn Lake",44.941935,-93.256915,4.253864611,1027.5563,"mountains",7,19.020531986555,NA,NA,35.9262857142857,1336.23018925519,-0.171440186913046,NA,NA,NA,-0.00825673803563665,0.0114295558695702,-0.00192039903266773,0.0265433964532243,0.0114905094053932,0.0151346748653739,0,98.78,0,"0701","07",65.7342130498725,"eutrophic","8.1"
766,"Marion Lake",44.666613,-93.284628,209.0701834,16527.6817,"mountains",6.5,8.74376513796084,15,NA,20.468,NA,NA,NA,NA,NA,0.0185680685791395,0.022215557347628,-0.00705261370571849,0.0235874417653668,0.00731421819845449,0.00963914162865761,2.05,47.27,17.63,"0704","07",60.2150429981493,"eutrophic","8.1"
827,"Lake Wingra",43.053693,-89.419354,136.189348,8794.5672,"plains",6.7,8.79233663707678,NA,20,13.7885185185185,NA,NA,45.3571556205328,-0.200063904575986,3.96984823916892,0.0353726604932691,0.0358659585098993,-0.000545977049669143,0.0116653760677184,-0.0177055516643963,-0.025466551042353,9.8,76.06,3.34,"0709","07",56.3398336561988,"eutrophic","8.2"
838,"North Montpelier Pond",44.308741,-72.444159,16.83992667,3891.4971,"mountains",3.6576,446.307089946491,NA,NA,3.10734848060606,NA,NA,16.6992424444444,0.0650853669552587,NA,0.0389581797624791,0.0401897766513625,0.00214465899172617,0.0489546632858434,0.0230266033878075,-0.0542298717527598,4.77,5.02,11.56,"0415","04",41.7222815806089,"mesotrophic","5.3"
843,"Stieger Lake",44.86656,-93.659015,65.63557503,3440.1654,"mountains",12.2,5.08283400194963,NA,NA,13.9963218390805,1123.28956228956,-0.0817652707946115,NA,NA,NA,0.01082907740749,0.018644111736632,-0.0134360759459023,0.0447234815054838,0.0200542647330692,0.0194221998463655,10.54,40.07,13.23,"0701","07",56.4865747249981,"eutrophic","8.1"
906,"Sparkling Lake",46.008637,-89.699786,63.6524628,3777.2748,"mountains",20,3.73038326806107,NA,270.34315,1.85555799373041,224.515733333333,-0.00828981448082975,5.28320512820513,0.0463567813091928,4.61475190907235,0.0212108623065139,0.0279394981322341,0.00589755195183761,0.0395583134956824,0.0130922897199428,-0.00231818914010655,26.01,13.13,0,"0705","07",36.664399324067,"oligotrophic","5.2"
971,"Goose Lake",44.887032,-93.83989,101.3464143,7773.5058,"mountains",3,5.31695640168298,40,NA,87.7625,NA,NA,NA,NA,NA,0.0172026254963423,0.017351192478956,-0.00384552727537661,0.0376826165361254,0.0129894829312307,0.018835817662876,6.55,6.53,72.03,"0702","07",74.4961625059884,"hypereutrophic","8.1"
973,"Typo Lake",45.414116,-93.086238,113.4108521,5924.7379,"mountains",1.8,39.0153771624823,91.1111111111111,NA,98.8127272727273,NA,NA,NA,NA,NA,0.00842476674629804,0.0308452785567416,0.00200198726041997,0.0482552499761556,0.0192557803958079,0.0136687698738638,14.71,4.42,47.49,"0703","07",75.6595511312216,"hypereutrophic","8.1"
1004,"Lake George",45.356543,-93.336178,194.4138842,5256.2088,"mountains",9.8,2.75273308797973,NA,NA,6.85806451612903,NA,NA,NA,NA,NA,-0.0105194014938308,0.00988684495811352,-0.000831247976489719,0.0461841788070074,0.0177641770815566,0.014761131745562,25.93,19.67,15.69,"0701","07",49.4884218145567,"mesotrophic","8.1"
1048,"Cedar Lake",44.959841,-93.321313,68.63339548,4713.0948,"mountains",17,5.22054349189836,9.16666666666667,NA,7.50839416058394,729.66746031746,-0.0586082571563279,NA,NA,NA,0.0120684266813704,0.0404648074796527,-0.00554863636220757,0.0404633002036432,0.0175557084456289,0.0155142524569825,0.2,94.07,0,"0701","07",50.3771720538636,"eutrophic","8.1"
1054,"Torch Lake",44.972825,-85.313322,7578.989674,67262.1941,"mountains",86.9,1.74224224836963,NA,2,0.484,NA,NA,4.24333333333333,0.0272602728556978,5.67073939246617,0.0311354783201179,0.00628548512551158,-0.0386023940760391,0.0257526503582193,0.0117454429600585,-0.0259097846865583,7.37,10.43,18.5,"0406","04",23.4811736480754,"oligotrophic","8.1"
1080,"Fish Lake",44.821766,-93.16395,12.54351548,2612.1029,"mountains",11,63.8221846241146,21.25,NA,28.2672,NA,NA,NA,NA,NA,0.0169769753056838,0.0303854073512432,-0.0147639945210204,0.0429366205048699,0.0222969425103234,0.015863658618413,0,89.12,0.92,"0702","07",63.3820978156063,"eutrophic","8.1"
1089,"Bush Lake",44.836272,-93.38308,70.68273918,5766.8533,"mountains",10,6.00662573671356,10,NA,6.9196261682243,NA,NA,NA,NA,NA,-0.00245517441520643,0.00745660394764345,-0.0186927263615289,0.0467467681303899,0.0279637610918303,0.0192742168992991,0.62,58.96,3.49,"0702","07",49.5760887305892,"mesotrophic","8.1"
1109,"Elk Lake",44.861919,-85.377559,3258.498223,39564.8947,"mountains",58.5,2.61571823910735,NA,4,0.363316666666667,NA,NA,5.7,-0.149902634407939,5.13796269501415,0.018345492201116,-0.0120368457540049,-0.040594667051708,0.0264151168163356,0.0150197391205302,-0.0259914542246795,10.52,9.95,20.24,"0406","04",20.6675666379692,"oligotrophic","8.1"
1123,"Orchard Lake",44.700686,-93.309399,93.10287946,4592.6244,"mountains",9.5,6.3857556345014,18.3333333333333,NA,13.863503649635,NA,NA,NA,NA,NA,0.0180007227832006,0.0229007508581793,0.0105090696184553,0.0301676438987623,0.010964208219816,0.0118848140855932,4.58,62.21,9.68,"0702","07",56.3930381513266,"eutrophic","8.1"
1143,"Alimagnet Lake",44.747259,-93.25,41.95367036,5492.4656,"mountains",2.7,10.7669972072498,19.5833333333333,NA,44.1413333333333,NA,NA,NA,NA,NA,0.0099812131125009,0.0188104201434774,-0.00015626435857653,0.0346648137178606,0.0164949857606133,0.0145498809841176,0,88.25,0,"0704","07",67.7543607175125,"eutrophic","8.1"
1295,"Lake Latoka",45.874667,-95.434765,307.8724892,14180.7565,"mountains",32.9,2.00758403001862,11,NA,3.94987341772152,NA,NA,NA,NA,NA,0.0425623179121127,0.0477620992095215,-0.0693252367445648,0.0228182472521486,-0.00477946191886263,0.0307161923935252,0.72,21.52,54.92,"0701","07",44.0758354514028,"mesotrophic","8.1"
1353,"Fawn Lake",45.407502,-93.053256,21.37662756,2165.3295,"mountains",7,1.39528531880358,20,NA,5.0975,NA,NA,NA,NA,NA,0.00830917431957267,0.0412373961828929,0.000172466301714091,0.0506333062793084,0.0209481815132991,0.011626506406094,14.24,32.12,5.45,"0703","07",46.5780396922061,"mesotrophic","8.1"
1505,"Sixmile Lake",45.124457,-85.204219,149.8515774,14055.0185,"mountains",9.4488,26.9554763191969,NA,11,3.80886363636364,NA,NA,NA,NA,4.96425593491182,0.022580094991565,0.0253634771808835,-0.0198716889836444,0.00396761119541692,-0.00807165934051754,-0.0279265822238415,7.52,5.82,19.56,"0406","04",43.7192159963543,"mesotrophic","8.1"
1548,"Bryant Lake",44.878522,-93.428995,70.04533032,5250.2695,"mountains",14.92,18.5557814783962,25,NA,20.1651388888889,1099.50631313131,-0.225243781878657,NA,NA,NA,0.00382458302922136,0.0277760262974574,-0.0206512696454166,0.0491941321090091,0.0270131377674294,0.017883789671971,4.56,82.61,0.92,"0702","07",60.0688016492064,"eutrophic","8.1"
1572,"Lake Le Homme Dieu",45.928508,-95.350883,726.3016207,15730.066,"mountains",25.9,1.23659569606135,7.77777777777778,NA,8.48717948717949,NA,NA,NA,NA,NA,0.0497990073625598,0.0473794571488752,-0.0627154206382288,0.0197455288855212,-0.00890507201746377,0.0303522580175024,2.24,40.57,32.46,"0701","07",51.5792415139172,"eutrophic","8.1"
1627,"Platte Lake",44.690438,-86.092522,1025.222496,15209.1709,"mountains",27.432,22.1530714441131,NA,5,2.86053130841122,NA,NA,7.16199645185474,0.0715409541015526,NA,-0.0128811421673093,-0.00364652297535181,-0.0448601931224724,0.0286304849406581,0.00391306644360679,-0.0197219058088919,6.83,6.51,5.06,"0406","04",40.9103823953475,"mesotrophic","8.1"
1696,"Lake Calhoun",44.94198,-93.311823,169.920846,4981.7038,"mountains",27.4,5.3492857280148,10,NA,4.24948905109489,677.010683760684,-0.0925046651847126,NA,NA,4.57616961062679,-0.00228183120652822,0.031413390306833,-0.00558550946466163,0.0338033185696308,0.0153949562950058,0.0158112561836114,0.14,98.87,0,"0701","07",44.7930957614083,"mesotrophic","8.1"
1764,"Lake Nokomis",44.908646,-93.242247,81.44438642,4413.6954,"mountains",10.1,10.5623743073439,NA,6,23.254609929078,1037.30256410256,0.0345738843183401,NA,NA,4.68228031386668,0.00629732059908725,0.0244882892793911,-0.015901200435934,0.0439010053054985,0.0236824575429517,0.0172403835913506,2.72,91.87,0.83,"0701","07",61.4671982450958,"eutrophic","8.1"
1917,"Nichols Pond",44.457893,-72.342032,67.78698795,4501.6892,"mountains",33.2232,3.27967676132747,NA,NA,5.83537342240664,NA,NA,11.7006979870563,0.0985250278449499,NA,0.0150310630785743,0.0147543538405609,0.00180177249149504,0.0248631801297378,0.00469141379848085,-0.053566004204883,0,0.2,0,"0415","04",47.9042343372282,"mesotrophic","5.3"
1927,"Coon Lake",45.306358,-93.165807,601.217439,25931.0548,"mountains",8.2,2.64432265412048,19.375,NA,13.7060975609756,NA,NA,NA,NA,NA,0.00853888213383485,0.0306786444965694,-0.0150570663317394,0.0451536690916725,0.0188546671010687,0.0145626590517551,40.93,15.76,14.63,"0703","07",56.2810183584603,"eutrophic","8.1"
1932,"Hydes Lake",44.815343,-93.874801,85.79128337,3928.7545,"mountains",5.5,1.78637278380651,38.3333333333333,NA,44.7017037037037,NA,NA,NA,NA,NA,0.0161400270804046,0.0199433433893057,-0.00349679946481543,0.0378577921466798,0.0130008693766191,0.0171138889906206,1.24,8.04,78.91,"0702","07",67.8781139438368,"eutrophic","8.1"
1938,"Crooked Lake",45.210486,-93.342972,48.73009205,4668.2762,"mountains",6.5,2.67845458338304,13.1818181818182,NA,9.17821782178218,NA,NA,NA,NA,NA,0.00847852716042638,0.0165618986471365,-0.0120059022929307,0.0461588148956731,0.0225152589662737,0.0155332629152031,2.2,93.86,1.17,"0701","07",52.3471322079883,"eutrophic","8.1"
2015,"Square Lake",45.156677,-92.80406,82.08188101,3935.1864,"mountains",21,3.190547666276,5,NA,2.91628787878788,NA,NA,NA,NA,NA,0.00187115682551616,0.0257971114045769,0.000863913586766394,0.0330572961848291,0.0123679473401428,0.0113124266672204,1.34,8.06,25.74,"0703","07",41.0997561400807,"mesotrophic","8.1"
2062,"Lake Skegemog",44.811804,-85.32382,1120.339158,24535.3555,"mountains",8.84,20.2095678869416,NA,9,1.63317567567568,NA,NA,5.96,-0.184506695373271,4.95267858561999,0.0196732646691377,0.017518233937816,-0.0367580005516118,0.0293131680605549,0.0172096345560395,-0.0297046786848835,7.77,7.83,4.7,"0406","04",35.4120638534593,"oligotrophic","8.1"
2164,"Lake Riley",44.836257,-93.522038,116.7759718,5044.1992,"mountains",15.2,4.47804200846736,13.75,NA,25.3857142857143,NA,NA,NA,NA,NA,0.00442385730086284,0.0155767036030299,0.00417853496865098,0.0501083886956694,0.0254220033041294,0.0198050871439095,2.58,70.88,10.32,"0702","07",62.3273704096929,"eutrophic","8.1"
2193,"Fish Lake",45.092812,-93.463486,92.73951703,7945.3735,"mountains",15.22,8.1204222764756,25,NA,23.4882926829268,1372.81601731602,0.0264806466474924,NA,NA,NA,0.00541877682009874,0.00716223686361775,-0.0162288755425412,0.0473125776137883,0.022485106848508,0.0170658039586252,3.16,86.5,1.07,"0701","07",61.5652857315725,"eutrophic","8.1"
2220,"Carver Lake",44.906419,-92.981361,19.57656234,1885.3014,"mountains",11,47.7252990526834,30,NA,12.8287105263158,NA,NA,NA,NA,NA,0.0193658699635652,0.021970848938585,0.00813053234615552,0.0376916692710343,0.0159040557107582,0.0130728964526998,0.61,84.55,5.77,"0701","07",55.6320364129159,"eutrophic","8.1"
2270,"Saint Albans Bay",44.90714,-93.55229,64.79762561,4485.3144,"mountains",25.3,2.07814503282075,NA,NA,4.7784693877551,800.436507936508,0.148453020497229,NA,NA,2.59975287911568,0.0198254364100419,0.0313109944917583,-0.01622328362589,0.0455907253997029,0.0228390865828008,0.0181601818816877,0,96.34,0,"0701","07",45.9440199807221,"mesotrophic","8.1"
2319,"Sunset Lake",45.133607,-92.942565,52.8492967,4122.9713,"mountains",4.9,3.15269574817256,NA,NA,4.4056,NA,NA,NA,NA,NA,0.0156673667074232,0.0339712192039364,0.0124969889528155,0.0347725811524612,0.0156914837252595,0.00955363391664929,6.61,8.72,36.55,"0701","07",45.1470180624578,"mesotrophic","8.1"
2329,"Upper Prior Lake",44.714411,-93.447482,171.6522995,11695.7996,"mountains",13.1,4.61759361516739,20,NA,48.1296172248804,1570.10227272727,-0.0028489463035465,NA,NA,NA,0.0079397082143264,0.0181850727113343,0.0293811915910738,0.0375986188442339,0.0200704176505547,0.0207941275664227,3.52,69.22,8.95,"0702","07",68.6029367346448,"eutrophic","8.1"
2421,"Green River Reservoir",44.63594,-72.520036,240.0666068,28638.215,"mountains",28.3464,14.6264405275045,NA,43,3.4870082010929,NA,NA,12.1807539805339,-0.0573497621603046,NA,0.0226408194555828,0.0277186485971444,-0.00796183348500254,0.0305380397844526,0.0163366502256884,-0.0543359514674047,5.53,0.44,0.11,"0415","04",42.8531228132347,"mesotrophic","5.3"
2424,"Wirth Lake",44.981704,-93.323426,14.86328666,1793.7388,"mountains",9,10.1888040353519,35,NA,15.0895571428571,771.901587301587,-0.207328537885265,NA,NA,NA,-4.40512354343257e-05,0.023245128564535,0.00705142505178716,0.0439571610334242,0.02113606443384,0.0147096454954885,1.24,60.67,0,"0701","07",57.2243686905803,"eutrophic","8.1"
2537,"Danby Pond",43.364211,-73.052027,26.35518169,3180.9072,"mountains",1.8288,5.49946754322679,NA,NA,5.30829674673311,NA,NA,18.4872892292495,0.150193585233294,NA,-0.0248757147137775,-0.00814496115637527,-0.0206728636071021,0.0873718934798704,0.0775278948536224,-0.06634878221159,14.69,3.16,28.13,"0415","04",46.9755487108224,"mesotrophic","5.3"
2604,"Pike Lake",45.067541,-93.208508,14.44329077,1544.7792,"mountains",5,127.413925974711,NA,NA,41.9716981132075,NA,NA,NA,NA,NA,0.014495526524271,0.0209091178576602,-0.0102514360098126,0.0327290856843144,0.0156327246245009,0.0132981183634398,0.76,97.63,0,"0701","07",67.2599262149679,"eutrophic","8.1"
2606,"Parley Lake",44.882505,-93.730758,102.4641944,5967.1403,"mountains",7,8.7155148794104,NA,NA,65.1064655172414,NA,NA,NA,NA,NA,0.0132270903856252,0.00775448663474501,-0.0069214355718957,0.0412841857783403,0.0171595313284593,0.0193926811542965,6.97,11.6,51.29,"0701","07",71.5667940762535,"hypereutrophic","8.1"
2648,"Piersons Lake",44.832996,-93.698663,103.1286238,5789.5208,"mountains",12.2,3.96570512851157,11,NA,10.2518103448276,NA,NA,NA,NA,NA,0.0128600689754289,-0.00437986560376298,-0.0234242323551992,0.0427065930298261,0.0180055473306175,0.0177121597206549,7.01,7.1,65.63,"0701","07",53.4323267712575,"eutrophic","8.1"
2703,NA,43.484853,-72.390863,25.41748543,3121.2078,"mountains",3.9624,61.8309293154968,70,NA,2.79782608181818,NA,NA,14.8497767978182,0.178255746725102,NA,0.0341330144833428,0.0500021392272722,-0.0194849627651019,0.0372025854975876,0.0162930944741667,-0.0552117046689662,1.37,7.56,19.28,"0108","01",40.6929470466719,"mesotrophic","5.3"
2713,"Crystal Lake",44.721881,-93.266846,120.6052991,9523.594,"mountains",11.3,3.28221130956923,12.3529411764706,NA,18.1164024390244,NA,NA,NA,NA,NA,0.0228212649321294,0.0221236225562997,0.00069151956263481,0.0278987562064124,0.0115620003075402,0.0126380439093262,0.27,96.24,0.43,"0702","07",59.0177820295009,"eutrophic","8.1"
2714,"Lake Charlevoix",45.246912,-85.138665,7016.129136,100076.5614,"mountains",37.1856,7.03467741446656,NA,3,0.872362790697674,621.767619047619,-0.0101410653385554,4.12291666666667,-0.144646141642344,6.20963259021473,0.0188646993794244,0.0222296597257935,-0.00110645952771141,0.00180609087272438,-0.00544644548840518,-0.0255750937854411,13.57,9.71,17.19,"0406","04",29.2604455082958,"oligotrophic","8.1"
2746,"Fish Lake",43.287495,-89.652158,80.43431264,4061.0924,"mountains",18.9,3.49878214735994,NA,10,10.2515931372574,854.332070707071,0.403665076535952,24.2275974025974,0.165278196102955,4.62007577815707,0.0441779315973296,0.038017334364194,0.00349634286345203,0.0504026313597605,0.0141360698826843,-0.0262473438857868,0.63,7.71,45.84,"0707","07",53.4321189222274,"eutrophic","8.1"
2851,"Walloon Lake",45.294291,-84.994757,1853.422124,48696.3875,"mountains",30.48,4.30435951675302,NA,5.5,1.22222222222222,480.937916666667,0.024795008843565,5.75333846153846,0.00123057124548958,5.33652057492807,0.0196835522291499,0.0308169301516349,0.005055683973359,0.0143938375056528,0.0132186843234613,-0.0293011473417159,8.62,8.61,23.69,"0406","04",32.5685795224837,"oligotrophic","8.1"
2855,"Clam Lake",44.928234,-85.251688,177.1280458,15395.387,"mountains",8.8392,35.5780571819531,NA,6.5,1.46781609195402,NA,NA,NA,NA,5.29727046652175,0.0329280468593914,0.0279317860655343,-0.03219223628817,0.0311748883427319,0.0175601024654269,-0.0325647008379328,11.6,8.69,8.71,"0406","04",34.3648390714062,"oligotrophic","8.1"
2876,"Lake Waconia",44.868842,-93.784614,1241.838775,17594.7409,"mountains",11.3,0.469197655146498,11.219512195122,NA,16.3072368421053,NA,NA,NA,NA,NA,0.0164557541182067,0.0185632505350846,-0.00835829765976284,0.039941393575415,0.0157967070989382,0.0196249940214494,8.34,31.7,38.43,"0702","07",57.9856841656768,"eutrophic","8.1"
2936,"Lake Bavaria",44.836876,-93.640379,67.18702117,4064.5189,"mountains",18.3,2.06710262758327,NA,NA,12.6694117647059,NA,NA,NA,NA,NA,0.00620729458701835,0.0242027269162776,-0.0184478323713833,0.0465382699024859,0.0225079670199436,0.0164943266469847,0,55.3,25.65,"0702","07",55.5094594509347,"eutrophic","8.1"
2952,"Lake Harriet",44.921898,-93.305013,137.720307,4329.6664,"mountains",25,2.75757555855579,9.28571428571429,NA,5.59246478873239,648.125152625153,-0.0691585607603851,NA,NA,NA,0.00843460969796375,0.0380521111275578,-0.0126564917727659,0.045220862267776,0.0234118979126442,0.017189267796047,1.11,94.78,0,"0701","07",47.4871313595774,"mesotrophic","8.1"
3006,"Lake Minnetonka",44.930886,-93.601545,5572.968422,198297.8676,"mountains",29.757,1.73368823064901,36.6666666666667,NA,29.8266265060241,1335.81902744806,0.0104081713474725,NA,NA,3.40515475190095,0.0220456750592528,0.0224202258062676,-0.00722446674047812,0.0457250947498475,0.0222041612389113,0.0193566873149499,8.09,42.29,25.09,"0701","07",63.9088887295702,"eutrophic","8.1"
3017,"Lake Darling",45.918973,-95.396336,422.0085608,10784.4572,"mountains",18.9,0.677481730839807,10,10,6.18925925925926,NA,NA,NA,NA,4.40091247285565,0.0439931266861958,0.0468028697593778,-0.0659074934672593,0.0205043625740266,-0.00785934856791958,0.0306223568747138,3.35,54.89,16.63,"0701","07",48.4818191937895,"mesotrophic","8.1"
3024,"Halfbreed Lake",45.248782,-92.89851,37.28896249,4060.6161,"mountains",10.4,5.37390453418325,16.6470588235294,NA,3.25739130434783,NA,NA,NA,NA,NA,0.00721399870828402,0.029071523168888,-0.0254127532542886,0.0511262466935183,0.0242548397482037,0.00889822939665495,4.55,16.45,42.52,"0703","07",42.1848905507545,"mesotrophic","8.1"
3092,"Lower Prior Lake",44.732821,-93.411219,380.7742872,24370.666,"mountains",17.1,1.82479701901468,10.8333333333333,NA,9.91240875912409,NA,NA,NA,NA,NA,0.00269409048469759,0.0150738557931894,0.0187746687276221,0.040042161973259,0.0210881888797761,0.0205075597541063,0.1,85.33,5.5,"0702","07",53.10205422027,"eutrophic","8.1"
3113,"Lake Victoria",45.874335,-95.334057,168.9782845,10481.3487,"mountains",18.3,4.79302014928433,10,6,8.50732394366197,NA,NA,NA,NA,4.25149739777423,0.0515651761469225,0.0591370046322667,-0.0673062615521883,0.0220604652498398,-0.00635696984506166,0.0310501957475348,1.76,25.18,53.29,"0701","07",51.6024981170244,"eutrophic","8.1"
3140,"Tanners Lake",44.953165,-92.981356,28.01717119,2619.1746,"mountains",15.048,5.1286694408066,32.5,NA,7.8270705,NA,NA,NA,NA,NA,0.0156353591700972,0.011545703275467,0.011532750704698,0.0350395080072963,0.0144835477202449,0.0127490740911062,0,98.43,0,"0701","07",50.7849412432539,"eutrophic","8.1"
3208,"Lake Virginia",44.886682,-93.632324,43.86769674,4289.6558,"mountains",11,6.12955941803112,NA,NA,29.090962962963,NA,NA,NA,NA,NA,0.0137395702689381,0.0189980414950087,-0.00840518613342479,0.0454528926472961,0.0215613853547333,0.0183277902608649,4.21,54.27,9.46,"0701","07",63.6638945092347,"eutrophic","8.1"
