lagoslakeid,sampledate,chla,source,lake_year,year
-1212,6/8/2004,25,IA_CLAMP,-1212_2004,2004
-1212,6/22/2004,9,IA_CLAMP,-1212_2004,2004
-1212,7/7/2004,20,IA_CLAMP,-1212_2004,2004
-1212,7/27/2004,93,IA_CLAMP,-1212_2004,2004
-1212,8/6/2004,27,IA_CLAMP,-1212_2004,2004
-1212,8/25/2004,27,IA_CLAMP,-1212_2004,2004
-1212,9/16/2004,161,IA_CLAMP,-1212_2004,2004
-1212,6/8/2005,1,IA_CLAMP,-1212_2005,2005
-1212,6/23/2005,7,IA_CLAMP,-1212_2005,2005
-1212,7/1/2005,16,IA_CLAMP,-1212_2005,2005
-1212,7/20/2005,19,IA_CLAMP,-1212_2005,2005
-1212,8/8/2005,22,IA_CLAMP,-1212_2005,2005
-1212,8/25/2005,NA,IA_CLAMP,-1212_2005,2005
-1212,9/5/2005,45,IA_CLAMP,-1212_2005,2005
-1212,6/8/2006,6,IA_CLAMP,-1212_2006,2006
-1212,6/21/2006,8,IA_CLAMP,-1212_2006,2006
-1212,7/13/2006,18,IA_CLAMP,-1212_2006,2006
-1212,7/20/2006,41,IA_CLAMP,-1212_2006,2006
-1212,8/3/2006,35,IA_CLAMP,-1212_2006,2006
-1212,8/18/2006,46,IA_CLAMP,-1212_2006,2006
-1212,9/8/2006,28,IA_CLAMP,-1212_2006,2006
-1212,6/11/2007,9,IA_CLAMP,-1212_2007,2007
-1212,6/19/2007,23,IA_CLAMP,-1212_2007,2007
-1212,7/27/2007,31,IA_CLAMP,-1212_2007,2007
-1212,8/7/2007,37,IA_CLAMP,-1212_2007,2007
-1212,8/27/2007,37,IA_CLAMP,-1212_2007,2007
-1212,9/6/2007,31,IA_CLAMP,-1212_2007,2007
-1212,6/3/2008,3,IA_CLAMP,-1212_2008,2008
-1212,6/23/2008,14,IA_CLAMP,-1212_2008,2008
-1212,7/8/2008,39,IA_CLAMP,-1212_2008,2008
-1212,7/24/2008,10,IA_CLAMP,-1212_2008,2008
-1212,8/12/2008,37,IA_CLAMP,-1212_2008,2008
-1212,8/28/2008,81,IA_CLAMP,-1212_2008,2008
-1212,9/12/2008,54,IA_CLAMP,-1212_2008,2008
-1212,6/11/2009,2,IA_CLAMP,-1212_2009,2009
-1212,6/23/2009,6,IA_CLAMP,-1212_2009,2009
-1212,7/7/2009,9,IA_CLAMP,-1212_2009,2009
-1212,7/30/2009,32,IA_CLAMP,-1212_2009,2009
-1212,8/13/2009,25,IA_CLAMP,-1212_2009,2009
-1212,8/27/2009,20,IA_CLAMP,-1212_2009,2009
-1212,9/14/2009,56,IA_CLAMP,-1212_2009,2009
-1212,6/7/2010,4,IA_CLAMP,-1212_2010,2010
-1212,6/24/2010,14,IA_CLAMP,-1212_2010,2010
-1212,7/1/2010,31,IA_CLAMP,-1212_2010,2010
-1212,7/29/2010,57,IA_CLAMP,-1212_2010,2010
-1212,8/9/2010,58,IA_CLAMP,-1212_2010,2010
-1212,8/19/2010,80,IA_CLAMP,-1212_2010,2010
-1212,9/13/2010,52,IA_CLAMP,-1212_2010,2010
-1212,6/12/2011,8,IA_CLAMP,-1212_2011,2011
-1212,6/30/2011,39,IA_CLAMP,-1212_2011,2011
-1212,7/15/2011,33,IA_CLAMP,-1212_2011,2011
-1212,7/26/2011,69,IA_CLAMP,-1212_2011,2011
-1212,8/1/2011,54,IA_CLAMP,-1212_2011,2011
-1212,8/23/2011,47,IA_CLAMP,-1212_2011,2011
-1212,9/9/2011,71,IA_CLAMP,-1212_2011,2011
-1212,6/7/2012,24,IA_CLAMP,-1212_2012,2012
-1212,6/22/2012,38,IA_CLAMP,-1212_2012,2012
-1212,7/6/2012,27,IA_CLAMP,-1212_2012,2012
-1212,7/18/2012,46,IA_CLAMP,-1212_2012,2012
-1212,8/1/2012,94,IA_CLAMP,-1212_2012,2012
-1212,8/28/2012,50,IA_CLAMP,-1212_2012,2012
-1212,6/5/2013,2,IA_CLAMP,-1212_2013,2013
-1212,6/27/2013,4,IA_CLAMP,-1212_2013,2013
-1212,7/9/2013,48,IA_CLAMP,-1212_2013,2013
-1212,7/23/2013,62,IA_CLAMP,-1212_2013,2013
-1212,8/8/2013,37,IA_CLAMP,-1212_2013,2013
-1212,8/20/2013,40,IA_CLAMP,-1212_2013,2013
-1212,9/3/2013,75,IA_CLAMP,-1212_2013,2013
-1212,6/5/2014,6,IA_CLAMP,-1212_2014,2014
-1212,6/20/2014,12,IA_CLAMP,-1212_2014,2014
-1212,7/7/2014,46,IA_CLAMP,-1212_2014,2014
-1212,7/21/2014,43,IA_CLAMP,-1212_2014,2014
-1212,8/7/2014,26,IA_CLAMP,-1212_2014,2014
-1212,8/18/2014,41,IA_CLAMP,-1212_2014,2014
-1212,9/8/2014,46,IA_CLAMP,-1212_2014,2014
-1212,6/9/2015,3,IA_CLAMP,-1212_2015,2015
-1212,6/23/2015,18,IA_CLAMP,-1212_2015,2015
-1212,7/14/2015,1,IA_CLAMP,-1212_2015,2015
-1212,7/23/2015,13,IA_CLAMP,-1212_2015,2015
-1212,8/10/2015,36,IA_CLAMP,-1212_2015,2015
-1212,6/2/2016,2,IA_CLAMP,-1212_2016,2016
-1212,6/23/2016,9,IA_CLAMP,-1212_2016,2016
-1212,7/7/2016,18,IA_CLAMP,-1212_2016,2016
-1212,7/22/2016,32,IA_CLAMP,-1212_2016,2016
-1212,8/13/2016,34,IA_CLAMP,-1212_2016,2016
-1212,8/25/2016,47,IA_CLAMP,-1212_2016,2016
-1212,9/8/2016,34,IA_CLAMP,-1212_2016,2016
-1212,6/8/2017,9,IA_CLAMP,-1212_2017,2017
-1212,6/23/2017,4,IA_CLAMP,-1212_2017,2017
-1212,7/7/2017,30,IA_CLAMP,-1212_2017,2017
-1212,7/27/2017,38,IA_CLAMP,-1212_2017,2017
-1212,8/10/2017,13,IA_CLAMP,-1212_2017,2017
-1212,8/22/2017,41,IA_CLAMP,-1212_2017,2017
-1212,9/7/2017,53,IA_CLAMP,-1212_2017,2017
-1212,6/8/2018,16,IA_CLAMP,-1212_2018,2018
-1212,6/22/2018,22,IA_CLAMP,-1212_2018,2018
-1212,7/16/2018,26,IA_CLAMP,-1212_2018,2018
-1212,7/31/2018,16,IA_CLAMP,-1212_2018,2018
-1212,8/13/2018,43,IA_CLAMP,-1212_2018,2018
-1212,8/24/2018,76,IA_CLAMP,-1212_2018,2018
-1212,9/14/2018,76,IA_CLAMP,-1212_2018,2018
-1111,6/17/1999,2,IA_CLAMP,-1111_1999,1999
-1111,7/6/1999,5,IA_CLAMP,-1111_1999,1999
-1111,7/14/1999,4,IA_CLAMP,-1111_1999,1999
-1111,7/28/1999,5,IA_CLAMP,-1111_1999,1999
-1111,8/11/1999,6,IA_CLAMP,-1111_1999,1999
-1111,8/25/1999,7,IA_CLAMP,-1111_1999,1999
-1111,9/9/1999,NA,IA_CLAMP,-1111_1999,1999
-1111,9/22/1999,12,IA_CLAMP,-1111_1999,1999
-1111,5/25/2000,1,IA_CLAMP,-1111_2000,2000
-1111,6/7/2000,2,IA_CLAMP,-1111_2000,2000
-1111,6/22/2000,3,IA_CLAMP,-1111_2000,2000
-1111,7/5/2000,3,IA_CLAMP,-1111_2000,2000
-1111,7/19/2000,3,IA_CLAMP,-1111_2000,2000
-1111,8/2/2000,6,IA_CLAMP,-1111_2000,2000
-1111,8/17/2000,6,IA_CLAMP,-1111_2000,2000
-1111,8/31/2000,6,IA_CLAMP,-1111_2000,2000
-1111,9/14/2000,9,IA_CLAMP,-1111_2000,2000
-1111,9/27/2000,9,IA_CLAMP,-1111_2000,2000
-1111,6/14/2001,3,IA_CLAMP,-1111_2001,2001
-1111,6/27/2001,5,IA_CLAMP,-1111_2001,2001
-1111,7/11/2001,5,IA_CLAMP,-1111_2001,2001
-1111,7/25/2001,9,IA_CLAMP,-1111_2001,2001
-1111,8/8/2001,7,IA_CLAMP,-1111_2001,2001
-1111,8/22/2001,11,IA_CLAMP,-1111_2001,2001
-1111,9/5/2001,13,IA_CLAMP,-1111_2001,2001
-1111,9/17/2001,9,IA_CLAMP,-1111_2001,2001
-1111,6/5/2002,1,IA_CLAMP,-1111_2002,2002
-1111,6/20/2002,2,IA_CLAMP,-1111_2002,2002
-1111,7/5/2002,4,IA_CLAMP,-1111_2002,2002
-1111,8/1/2002,5,IA_CLAMP,-1111_2002,2002
-1111,8/13/2002,NA,IA_CLAMP,-1111_2002,2002
-1111,8/15/2002,4,IA_CLAMP,-1111_2002,2002
-1111,8/26/2002,10,IA_CLAMP,-1111_2002,2002
-1111,9/12/2002,9,IA_CLAMP,-1111_2002,2002
-1111,9/27/2002,13,IA_CLAMP,-1111_2002,2002
-1111,6/11/2003,1,IA_CLAMP,-1111_2003,2003
-1111,6/25/2003,3,IA_CLAMP,-1111_2003,2003
-1111,7/10/2003,3,IA_CLAMP,-1111_2003,2003
-1111,7/24/2003,6,IA_CLAMP,-1111_2003,2003
-1111,8/12/2003,3,IA_CLAMP,-1111_2003,2003
-1111,8/20/2003,4,IA_CLAMP,-1111_2003,2003
-1111,9/5/2003,5,IA_CLAMP,-1111_2003,2003
-1111,9/19/2003,6,IA_CLAMP,-1111_2003,2003
-1111,6/8/2004,3,IA_CLAMP,-1111_2004,2004
-1111,6/22/2004,12,IA_CLAMP,-1111_2004,2004
-1111,7/9/2004,3,IA_CLAMP,-1111_2004,2004
-1111,7/20/2004,7,IA_CLAMP,-1111_2004,2004
-1111,8/11/2004,7,IA_CLAMP,-1111_2004,2004
-1111,8/26/2004,5,IA_CLAMP,-1111_2004,2004
-1111,9/16/2004,7,IA_CLAMP,-1111_2004,2004
-1111,6/7/2005,1,IA_CLAMP,-1111_2005,2005
-1111,6/21/2005,4,IA_CLAMP,-1111_2005,2005
-1111,7/8/2005,6,IA_CLAMP,-1111_2005,2005
-1111,7/18/2005,6,IA_CLAMP,-1111_2005,2005
-1111,8/11/2005,7,IA_CLAMP,-1111_2005,2005
-1111,8/23/2005,NA,IA_CLAMP,-1111_2005,2005
-1111,9/20/2005,13,IA_CLAMP,-1111_2005,2005
-1111,6/4/2008,1,IA_CLAMP,-1111_2008,2008
-1111,6/25/2008,1,IA_CLAMP,-1111_2008,2008
-1111,7/9/2008,2,IA_CLAMP,-1111_2008,2008
-1111,7/22/2008,7,IA_CLAMP,-1111_2008,2008
-1111,8/14/2008,2,IA_CLAMP,-1111_2008,2008
-1111,8/26/2008,6,IA_CLAMP,-1111_2008,2008
-1111,9/9/2008,4,IA_CLAMP,-1111_2008,2008
-1111,6/9/2009,1,IA_CLAMP,-1111_2009,2009
-1111,6/27/2009,3,IA_CLAMP,-1111_2009,2009
-1111,7/7/2009,6,IA_CLAMP,-1111_2009,2009
-1111,7/22/2009,3,IA_CLAMP,-1111_2009,2009
-1111,8/5/2009,4,IA_CLAMP,-1111_2009,2009
-1111,8/18/2009,4,IA_CLAMP,-1111_2009,2009
-1111,9/11/2009,3,IA_CLAMP,-1111_2009,2009
-1111,6/3/2010,1,IA_CLAMP,-1111_2010,2010
-1111,6/15/2010,2,IA_CLAMP,-1111_2010,2010
-1111,7/9/2010,3,IA_CLAMP,-1111_2010,2010
-1111,7/21/2010,3,IA_CLAMP,-1111_2010,2010
-1111,8/5/2010,4,IA_CLAMP,-1111_2010,2010
-1111,9/1/2010,6,IA_CLAMP,-1111_2010,2010
-1111,9/13/2010,10,IA_CLAMP,-1111_2010,2010
-1111,6/8/2011,1,IA_CLAMP,-1111_2011,2011
-1111,6/28/2011,3,IA_CLAMP,-1111_2011,2011
-1111,7/8/2011,2,IA_CLAMP,-1111_2011,2011
-1111,7/19/2011,3,IA_CLAMP,-1111_2011,2011
-1111,8/8/2011,5,IA_CLAMP,-1111_2011,2011
-1111,8/23/2011,10,IA_CLAMP,-1111_2011,2011
-1111,9/13/2011,12,IA_CLAMP,-1111_2011,2011
-1111,6/15/2012,13,IA_CLAMP,-1111_2012,2012
-1111,6/21/2012,5,IA_CLAMP,-1111_2012,2012
-1111,7/11/2012,2,IA_CLAMP,-1111_2012,2012
-1111,7/18/2012,2,IA_CLAMP,-1111_2012,2012
-1111,8/8/2012,3,IA_CLAMP,-1111_2012,2012
-1111,8/20/2012,8,IA_CLAMP,-1111_2012,2012
-1111,9/9/2012,7,IA_CLAMP,-1111_2012,2012
-1111,6/6/2013,2,IA_CLAMP,-1111_2013,2013
-1111,6/19/2013,1,IA_CLAMP,-1111_2013,2013
-1111,7/2/2013,9,IA_CLAMP,-1111_2013,2013
-1111,7/17/2013,2,IA_CLAMP,-1111_2013,2013
-1111,8/6/2013,2,IA_CLAMP,-1111_2013,2013
-1111,8/22/2013,4,IA_CLAMP,-1111_2013,2013
-1111,9/10/2013,5,IA_CLAMP,-1111_2013,2013
-1111,6/3/2014,1,IA_CLAMP,-1111_2014,2014
-1111,6/16/2014,1,IA_CLAMP,-1111_2014,2014
-1111,7/8/2014,2,IA_CLAMP,-1111_2014,2014
-1111,7/23/2014,1,IA_CLAMP,-1111_2014,2014
-1111,8/8/2014,3,IA_CLAMP,-1111_2014,2014
-1111,8/19/2014,2,IA_CLAMP,-1111_2014,2014
-1111,9/16/2014,5,IA_CLAMP,-1111_2014,2014
-1111,6/9/2015,4,IA_CLAMP,-1111_2015,2015
-1111,6/24/2015,4,IA_CLAMP,-1111_2015,2015
-1111,7/15/2015,2,IA_CLAMP,-1111_2015,2015
-1111,7/24/2015,1,IA_CLAMP,-1111_2015,2015
-1111,8/5/2015,1,IA_CLAMP,-1111_2015,2015
-1111,8/24/2015,6,IA_CLAMP,-1111_2015,2015
-1111,9/4/2015,3,IA_CLAMP,-1111_2015,2015
-1111,6/7/2016,1,IA_CLAMP,-1111_2016,2016
-1111,6/24/2016,4,IA_CLAMP,-1111_2016,2016
-1111,7/5/2016,6,IA_CLAMP,-1111_2016,2016
-1111,7/27/2016,5,IA_CLAMP,-1111_2016,2016
-1111,8/9/2016,4,IA_CLAMP,-1111_2016,2016
-1111,8/25/2016,4,IA_CLAMP,-1111_2016,2016
-1111,9/2/2016,3,IA_CLAMP,-1111_2016,2016
-1111,6/8/2018,1,IA_CLAMP,-1111_2018,2018
-1111,6/19/2018,1,IA_CLAMP,-1111_2018,2018
-1111,7/11/2018,2,IA_CLAMP,-1111_2018,2018
-1111,7/27/2018,3,IA_CLAMP,-1111_2018,2018
-1111,8/8/2018,2,IA_CLAMP,-1111_2018,2018
-1111,8/29/2018,2,IA_CLAMP,-1111_2018,2018
-1111,9/7/2018,2,IA_CLAMP,-1111_2018,2018
-1010,7/14/1999,NA,IA_CLAMP,-1010_1999,1999
-1010,7/28/1999,58,IA_CLAMP,-1010_1999,1999
-1010,8/11/1999,49,IA_CLAMP,-1010_1999,1999
-1010,8/25/1999,NA,IA_CLAMP,-1010_1999,1999
-1010,9/8/1999,137,IA_CLAMP,-1010_1999,1999
-1010,9/22/1999,115,IA_CLAMP,-1010_1999,1999
-1010,5/20/2000,9,IA_CLAMP,-1010_2000,2000
-1010,6/2/2000,55,IA_CLAMP,-1010_2000,2000
-1010,6/16/2000,99,IA_CLAMP,-1010_2000,2000
-1010,6/30/2000,59,IA_CLAMP,-1010_2000,2000
-1010,7/14/2000,72,IA_CLAMP,-1010_2000,2000
-1010,7/28/2000,18,IA_CLAMP,-1010_2000,2000
-1010,8/11/2000,17,IA_CLAMP,-1010_2000,2000
-1010,8/25/2000,21,IA_CLAMP,-1010_2000,2000
-1010,9/9/2000,87,IA_CLAMP,-1010_2000,2000
-1010,9/26/2000,9,IA_CLAMP,-1010_2000,2000
-1010,6/8/2001,12,IA_CLAMP,-1010_2001,2001
-1010,6/22/2001,10,IA_CLAMP,-1010_2001,2001
-1010,7/3/2001,37,IA_CLAMP,-1010_2001,2001
-1010,8/3/2001,73,IA_CLAMP,-1010_2001,2001
-1010,8/22/2001,106,IA_CLAMP,-1010_2001,2001
-1010,9/1/2001,128,IA_CLAMP,-1010_2001,2001
-1010,9/21/2001,38,IA_CLAMP,-1010_2001,2001
-1010,6/5/2002,16,IA_CLAMP,-1010_2002,2002
-1010,6/17/2002,36,IA_CLAMP,-1010_2002,2002
-1010,7/2/2002,56,IA_CLAMP,-1010_2002,2002
-1010,7/16/2002,30,IA_CLAMP,-1010_2002,2002
-1010,7/19/2002,46,IA_CLAMP,-1010_2002,2002
-1010,8/2/2002,185,IA_CLAMP,-1010_2002,2002
-1010,8/12/2002,69,IA_CLAMP,-1010_2002,2002
-1010,8/28/2002,52,IA_CLAMP,-1010_2002,2002
-1010,9/6/2002,59,IA_CLAMP,-1010_2002,2002
-1010,9/27/2002,51,IA_CLAMP,-1010_2002,2002
-1010,6/12/2003,NA,IA_CLAMP,-1010_2003,2003
-1010,6/28/2003,416,IA_CLAMP,-1010_2003,2003
-1010,7/15/2003,NA,IA_CLAMP,-1010_2003,2003
-1010,7/30/2003,15,IA_CLAMP,-1010_2003,2003
-1010,8/14/2003,39,IA_CLAMP,-1010_2003,2003
-1010,8/30/2003,147,IA_CLAMP,-1010_2003,2003
-1010,9/6/2003,97,IA_CLAMP,-1010_2003,2003
-1010,9/13/2003,26,IA_CLAMP,-1010_2003,2003
-1010,6/8/2004,41,IA_CLAMP,-1010_2004,2004
-1010,6/28/2004,456,IA_CLAMP,-1010_2004,2004
-1010,7/14/2004,25,IA_CLAMP,-1010_2004,2004
-1010,7/28/2004,133,IA_CLAMP,-1010_2004,2004
-1010,8/2/2004,739,IA_CLAMP,-1010_2004,2004
-1010,8/26/2004,39,IA_CLAMP,-1010_2004,2004
-1010,9/10/2004,133,IA_CLAMP,-1010_2004,2004
-1010,6/8/2005,NA,IA_CLAMP,-1010_2005,2005
-1010,6/19/2005,20,IA_CLAMP,-1010_2005,2005
-1010,7/6/2005,23,IA_CLAMP,-1010_2005,2005
-1010,7/19/2005,38,IA_CLAMP,-1010_2005,2005
-1010,8/5/2005,23,IA_CLAMP,-1010_2005,2005
-1010,8/21/2005,NA,IA_CLAMP,-1010_2005,2005
-1010,9/3/2005,88,IA_CLAMP,-1010_2005,2005
-1010,6/3/2006,7,IA_CLAMP,-1010_2006,2006
-1010,6/22/2006,9,IA_CLAMP,-1010_2006,2006
-1010,7/9/2006,44,IA_CLAMP,-1010_2006,2006
-1010,7/20/2006,37,IA_CLAMP,-1010_2006,2006
-1010,8/2/2006,36,IA_CLAMP,-1010_2006,2006
-1010,8/19/2006,38,IA_CLAMP,-1010_2006,2006
-1010,9/11/2006,39,IA_CLAMP,-1010_2006,2006
-1010,6/12/2007,22,IA_CLAMP,-1010_2007,2007
-1010,6/25/2007,99,IA_CLAMP,-1010_2007,2007
-1010,7/10/2007,16,IA_CLAMP,-1010_2007,2007
-1010,7/19/2007,29,IA_CLAMP,-1010_2007,2007
-1010,8/5/2007,120,IA_CLAMP,-1010_2007,2007
-1010,8/22/2007,77,IA_CLAMP,-1010_2007,2007
-1010,9/2/2007,30,IA_CLAMP,-1010_2007,2007
-1010,6/14/2008,3,IA_CLAMP,-1010_2008,2008
-1010,6/22/2008,6,IA_CLAMP,-1010_2008,2008
-1010,7/7/2008,27,IA_CLAMP,-1010_2008,2008
-1010,7/22/2008,22,IA_CLAMP,-1010_2008,2008
-1010,8/2/2008,25,IA_CLAMP,-1010_2008,2008
-1010,8/25/2008,49,IA_CLAMP,-1010_2008,2008
-1010,9/8/2008,17,IA_CLAMP,-1010_2008,2008
-1010,6/13/2009,5,IA_CLAMP,-1010_2009,2009
-1010,6/30/2009,29,IA_CLAMP,-1010_2009,2009
-1010,7/11/2009,220,IA_CLAMP,-1010_2009,2009
-1010,7/31/2009,120,IA_CLAMP,-1010_2009,2009
-1010,8/14/2009,120,IA_CLAMP,-1010_2009,2009
-1010,8/26/2009,130,IA_CLAMP,-1010_2009,2009
-1010,9/12/2009,80,IA_CLAMP,-1010_2009,2009
-1010,6/7/2010,14,IA_CLAMP,-1010_2010,2010
-1010,6/10/2010,5,IA_CLAMP,-1010_2010,2010
-1010,7/8/2010,12,IA_CLAMP,-1010_2010,2010
-1010,7/20/2010,22,IA_CLAMP,-1010_2010,2010
-1010,8/7/2010,36,IA_CLAMP,-1010_2010,2010
-1010,8/16/2010,62,IA_CLAMP,-1010_2010,2010
-1010,9/13/2010,29,IA_CLAMP,-1010_2010,2010
-1010,6/4/2011,9,IA_CLAMP,-1010_2011,2011
-1010,6/24/2011,26,IA_CLAMP,-1010_2011,2011
-1010,7/9/2011,25,IA_CLAMP,-1010_2011,2011
-1010,7/21/2011,55,IA_CLAMP,-1010_2011,2011
-1010,8/13/2011,72,IA_CLAMP,-1010_2011,2011
-1010,8/31/2011,54,IA_CLAMP,-1010_2011,2011
-1010,9/8/2011,67,IA_CLAMP,-1010_2011,2011
-1010,6/7/2012,31,IA_CLAMP,-1010_2012,2012
-1010,6/21/2012,48,IA_CLAMP,-1010_2012,2012
-1010,7/11/2012,100,IA_CLAMP,-1010_2012,2012
-1010,7/24/2012,85,IA_CLAMP,-1010_2012,2012
-1010,8/7/2012,100,IA_CLAMP,-1010_2012,2012
-1010,8/28/2012,67,IA_CLAMP,-1010_2012,2012
-1010,9/10/2012,56,IA_CLAMP,-1010_2012,2012
-1010,6/5/2013,86,IA_CLAMP,-1010_2013,2013
-1010,6/25/2013,46,IA_CLAMP,-1010_2013,2013
-1010,7/3/2013,36,IA_CLAMP,-1010_2013,2013
-1010,7/18/2013,42,IA_CLAMP,-1010_2013,2013
-1010,8/5/2013,46,IA_CLAMP,-1010_2013,2013
-1010,8/22/2013,46,IA_CLAMP,-1010_2013,2013
-1010,9/3/2013,61,IA_CLAMP,-1010_2013,2013
-1010,6/5/2014,54,IA_CLAMP,-1010_2014,2014
-1010,6/20/2014,55,IA_CLAMP,-1010_2014,2014
-1010,7/8/2014,55,IA_CLAMP,-1010_2014,2014
-1010,7/22/2014,120,IA_CLAMP,-1010_2014,2014
-1010,8/5/2014,51,IA_CLAMP,-1010_2014,2014
-1010,8/18/2014,42,IA_CLAMP,-1010_2014,2014
-1010,9/9/2014,86,IA_CLAMP,-1010_2014,2014
-1010,6/9/2015,26,IA_CLAMP,-1010_2015,2015
-1010,6/20/2015,39,IA_CLAMP,-1010_2015,2015
-1010,7/7/2015,33,IA_CLAMP,-1010_2015,2015
-1010,7/27/2015,55,IA_CLAMP,-1010_2015,2015
-1010,8/10/2015,29,IA_CLAMP,-1010_2015,2015
-1010,6/2/2016,1,IA_CLAMP,-1010_2016,2016
-1010,6/28/2016,23,IA_CLAMP,-1010_2016,2016
-1010,7/2/2016,12,IA_CLAMP,-1010_2016,2016
-1010,7/21/2016,18,IA_CLAMP,-1010_2016,2016
-1010,8/18/2016,23,IA_CLAMP,-1010_2016,2016
-1010,8/27/2016,17,IA_CLAMP,-1010_2016,2016
-1010,9/10/2016,28,IA_CLAMP,-1010_2016,2016
-1010,6/14/2018,6,IA_CLAMP,-1010_2018,2018
-1010,6/30/2018,22,IA_CLAMP,-1010_2018,2018
-1010,7/12/2018,29,IA_CLAMP,-1010_2018,2018
-1010,7/28/2018,61,IA_CLAMP,-1010_2018,2018
-1010,8/13/2018,55,IA_CLAMP,-1010_2018,2018
-1010,8/26/2018,78,IA_CLAMP,-1010_2018,2018
-1010,9/7/2018,44,IA_CLAMP,-1010_2018,2018
-99,7/14/1999,NA,IA_CLAMP,-99_1999,1999
-99,7/28/1999,30,IA_CLAMP,-99_1999,1999
-99,8/11/1999,5,IA_CLAMP,-99_1999,1999
-99,8/25/1999,NA,IA_CLAMP,-99_1999,1999
-99,9/8/1999,63,IA_CLAMP,-99_1999,1999
-99,9/22/1999,14,IA_CLAMP,-99_1999,1999
-99,5/20/2000,3,IA_CLAMP,-99_2000,2000
-99,6/2/2000,25,IA_CLAMP,-99_2000,2000
-99,6/16/2000,39,IA_CLAMP,-99_2000,2000
-99,6/30/2000,23,IA_CLAMP,-99_2000,2000
-99,7/14/2000,88,IA_CLAMP,-99_2000,2000
-99,7/28/2000,19,IA_CLAMP,-99_2000,2000
-99,8/11/2000,13,IA_CLAMP,-99_2000,2000
-99,8/25/2000,36,IA_CLAMP,-99_2000,2000
-99,9/9/2000,43,IA_CLAMP,-99_2000,2000
-99,9/26/2000,6,IA_CLAMP,-99_2000,2000
-99,6/8/2001,19,IA_CLAMP,-99_2001,2001
-99,6/22/2001,10,IA_CLAMP,-99_2001,2001
-99,7/3/2001,43,IA_CLAMP,-99_2001,2001
-99,8/3/2001,77,IA_CLAMP,-99_2001,2001
-99,8/22/2001,83,IA_CLAMP,-99_2001,2001
-99,9/1/2001,72,IA_CLAMP,-99_2001,2001
-99,9/21/2001,63,IA_CLAMP,-99_2001,2001
-99,6/5/2002,5,IA_CLAMP,-99_2002,2002
-99,6/17/2002,42,IA_CLAMP,-99_2002,2002
-99,7/2/2002,38,IA_CLAMP,-99_2002,2002
-99,7/16/2002,46,IA_CLAMP,-99_2002,2002
-99,7/19/2002,47,IA_CLAMP,-99_2002,2002
-99,8/2/2002,161,IA_CLAMP,-99_2002,2002
-99,8/12/2002,100,IA_CLAMP,-99_2002,2002
